"","Solar","Eolica","Prevision_solar","Prevision_Viento","Carga_prevision","Carga_real","Precio_prevision","Precio_real"
"1",49,6378,17,6436,26118,25385,50.1,65.41
"2",50,5890,16,5856,24934,24382,48.1,64.92
"3",50,5461,8,5454,23515,22734,47.33,64.48
"4",50,5238,2,5151,22642,21286,42.27,59.32
"5",42,4935,9,4861,21785,20264,38.41,56.04
"6",34,4618,4,4617,21441,19905,35.72,53.63
"7",34,4397,3,4276,21285,20010,35.13,51.73
"8",35,3992,12,3994,21545,20377,36.22,51.43
"9",54,3629,39,3602,21443,20094,32.4,48.98
"10",743,3073,784,3212,21560,20637,36.6,54.2
"11",2019,2683,1996,2617,22824,22250,43.1,58.94
"12",3197,2771,2990,2450,23720,23547,45.14,59.86
"13",3885,2906,3842,2819,24180,24133,45.14,60.12
"14",4007,2923,3812,2830,24797,24713,47.35,62.05
"15",3973,2945,3699,2851,25222,24672,47.35,62.06
"16",3818,2709,3369,2822,24173,23528,43.61,59.76
"17",3088,2552,2615,2562,23659,23118,44.91,61.18
"18",1467,2699,1387,2578,23982,23606,48.1,64.74
"19",404,2764,399,2824,26981,26447,58.02,74.26
"20",139,2913,100,2801,28515,28020,61.01,74.24
"21",100,3118,44,2999,30482,29014,62.69,75.64
"22",75,3373,26,3185,30739,29571,60.41,73.92
"23",74,3508,13,3446,29756,29031,58.15,70.53
"24",56,3527,14,3482,27589,26798,53.6,64.13
"25",54,13232,5,13329,27309,27070,10,64.02
"26",54,12760,35,12718,25397,24935,7,58.46
"27",54,12174,43,12375,23640,23214,5,54.7
"28",53,11358,32,11524,22638,22540,4,54.91
"29",53,11199,31,11310,22238,22096,4,53.07
"30",63,11152,26,11111,22299,22066,4.8,54.23
"31",55,11169,21,11303,22660,22275,5,58.22
"32",54,11205,136,11297,23449,23025,7.04,67.55
"33",116,10920,175,11048,24067,23699,7.04,70.33
"34",1039,10491,1092,10711,25737,25834,7.88,71.26
"35",2373,10156,2319,10379,27883,27927,10.71,75.86
"36",3699,10421,3451,10423,28969,29072,10,73.65
"37",4154,11230,4005,10989,28894,29071,7.04,74.19
"38",4074,11920,4120,11842,29460,29439,7,71.51
